City,Resource,Year,Month,Usage
Kuala Lumpur,Electricity,2022,1,46636.58
Kuala Lumpur,Electricity,2022,2,42719.74
Kuala Lumpur,Electricity,2022,3,51591.5
Kuala Lumpur,Electricity,2022,4,48781.55
Kuala Lumpur,Electricity,2022,5,40652.61
Kuala Lumpur,Electricity,2022,6,51602.27
Kuala Lumpur,Electricity,2022,7,48268.34
Kuala Lumpur,Electricity,2022,8,46240.81
Kuala Lumpur,Electricity,2022,9,54836.65
Kuala Lumpur,Electricity,2022,10,41227.91
Kuala Lumpur,Electricity,2022,11,43360.23
Kuala Lumpur,Electricity,2022,12,46702.37
Kuala Lumpur,Electricity,2023,1,43214.02
Kuala Lumpur,Electricity,2023,2,45850.79
Kuala Lumpur,Electricity,2023,3,54802.17
Kuala Lumpur,Electricity,2023,4,45812.18
Kuala Lumpur,Electricity,2023,5,46464.26
Kuala Lumpur,Electricity,2023,6,50247.1
Kuala Lumpur,Electricity,2023,7,44247.51
Kuala Lumpur,Electricity,2023,8,41236.3
Kuala Lumpur,Electricity,2023,9,48015.44
Kuala Lumpur,Electricity,2023,10,45758.4
Kuala Lumpur,Electricity,2023,11,43834.36
Kuala Lumpur,Electricity,2023,12,47156.8
Kuala Lumpur,Electricity,2024,1,42016.23
Kuala Lumpur,Electricity,2024,2,46553.5
Kuala Lumpur,Electricity,2024,3,48628.39
Kuala Lumpur,Electricity,2024,4,45691.23
Kuala Lumpur,Electricity,2024,5,44254.81
Kuala Lumpur,Electricity,2024,6,46454.91
Kuala Lumpur,Electricity,2024,7,43484.48
Kuala Lumpur,Electricity,2024,8,44597.54
Kuala Lumpur,Electricity,2024,9,48221.57
Kuala Lumpur,Electricity,2024,10,43990.18
Kuala Lumpur,Electricity,2024,11,46219.71
Kuala Lumpur,Electricity,2024,12,49489.26
Kuala Lumpur,Electricity,2025,1,40860.81
Kuala Lumpur,Electricity,2025,2,46232.61
Kuala Lumpur,Electricity,2025,3,48335.6
Kuala Lumpur,Fuel,2020,1,33427.92
Kuala Lumpur,Fuel,2020,2,32927.16
Kuala Lumpur,Fuel,2020,3,35071.91
Kuala Lumpur,Fuel,2020,4,32191.87
Kuala Lumpur,Fuel,2020,5,34311.45
Kuala Lumpur,Fuel,2020,6,36235.19
Kuala Lumpur,Fuel,2020,7,33712.34
Kuala Lumpur,Fuel,2020,8,32926.95
Kuala Lumpur,Fuel,2020,9,37639.45
Kuala Lumpur,Fuel,2020,10,31839.26
Kuala Lumpur,Fuel,2020,11,30498.56
Kuala Lumpur,Fuel,2020,12,34839.56
Kuala Lumpur,Fuel,2021,1,30294.37
Kuala Lumpur,Fuel,2021,2,33165.5
Kuala Lumpur,Fuel,2021,3,33564.54
Kuala Lumpur,Fuel,2021,4,30198.54
Kuala Lumpur,Fuel,2021,5,29888.43
Kuala Lumpur,Fuel,2021,6,35087.59
Kuala Lumpur,Fuel,2021,7,33653.02
Kuala Lumpur,Fuel,2021,8,35674.11
Kuala Lumpur,Fuel,2021,9,35091.1
Kuala Lumpur,Fuel,2021,10,33628.67
Kuala Lumpur,Fuel,2021,11,27814.03
Kuala Lumpur,Fuel,2021,12,31449.23
Kuala Lumpur,Fuel,2022,1,30294.8
Kuala Lumpur,Fuel,2022,2,33104.87
Kuala Lumpur,Fuel,2022,3,35062.12
Kuala Lumpur,Fuel,2022,4,33643.97
Kuala Lumpur,Fuel,2022,5,28593.22
Kuala Lumpur,Fuel,2022,6,35661.43
Kuala Lumpur,Fuel,2022,7,26836.26
Kuala Lumpur,Fuel,2022,8,33565.24
Kuala Lumpur,Fuel,2022,9,34994.26
Kuala Lumpur,Fuel,2022,10,34402.79
Kuala Lumpur,Fuel,2022,11,29540.79
Kuala Lumpur,Fuel,2022,12,34421.59
Kuala Lumpur,Fuel,2023,1,31990.28
Kuala Lumpur,Fuel,2023,2,31849.53
Kuala Lumpur,Fuel,2023,3,35488.67
Kuala Lumpur,Fuel,2023,4,32892.04
Kuala Lumpur,Fuel,2023,5,30751.51
Kuala Lumpur,Fuel,2023,6,35795.0
Kuala Lumpur,Fuel,2023,7,32257.44
Kuala Lumpur,Fuel,2023,8,32820.63
Kuala Lumpur,Fuel,2023,9,34811.29
Kuala Lumpur,Fuel,2023,10,32677.0
Kuala Lumpur,Fuel,2023,11,33541.11
Kuala Lumpur,Fuel,2023,12,36073.82
Kuala Lumpur,Fuel,2024,1,33557.32
Kuala Lumpur,Fuel,2024,2,34010.8
Kuala Lumpur,Fuel,2024,3,35035.86
Kuala Lumpur,Fuel,2024,4,32606.09
Kuala Lumpur,Fuel,2024,5,31935.75
Kuala Lumpur,Fuel,2024,6,38494.37
Kuala Lumpur,Fuel,2024,7,30853.17
Kuala Lumpur,Fuel,2024,8,32588.61
Kuala Lumpur,Fuel,2024,9,37184.55
Kuala Lumpur,Fuel,2024,10,32209.25
Kuala Lumpur,Fuel,2024,11,31267.83
Kuala Lumpur,Fuel,2024,12,35030.76
Kuala Lumpur,Fuel,2025,1,31617.56
Kuala Lumpur,Fuel,2025,2,33037.04
Kuala Lumpur,Fuel,2025,3,35188.96
Petaling Jaya,Water,2020,1,13664.94
Petaling Jaya,Water,2020,2,14048.96
Petaling Jaya,Water,2020,3,15341.52
Petaling Jaya,Water,2020,4,14056.22
Petaling Jaya,Water,2020,5,13883.52
Petaling Jaya,Water,2020,6,15666.23
Petaling Jaya,Water,2020,7,14390.47
Petaling Jaya,Water,2020,8,12554.64
Petaling Jaya,Water,2020,9,15067.77
Petaling Jaya,Water,2020,10,14006.64
Petaling Jaya,Water,2020,11,15466.96
Petaling Jaya,Water,2020,12,13885.56
Petaling Jaya,Water,2021,1,13012.61
Petaling Jaya,Water,2021,2,14952.58
Petaling Jaya,Water,2021,3,14479.73
Petaling Jaya,Water,2021,4,14090.33
Petaling Jaya,Water,2021,5,14431.19
Petaling Jaya,Water,2021,6,16177.53
Petaling Jaya,Water,2021,7,14159.5
Petaling Jaya,Water,2021,8,13411.48
Petaling Jaya,Water,2021,9,16295.52
Petaling Jaya,Water,2021,10,15055.26
Petaling Jaya,Water,2021,11,13657.4
Petaling Jaya,Water,2021,12,15577.92
Petaling Jaya,Water,2022,1,13277.21
Petaling Jaya,Water,2022,2,14851.08
Petaling Jaya,Water,2022,3,17197.92
Petaling Jaya,Water,2022,4,12749.62
Petaling Jaya,Water,2022,5,13076.97
Petaling Jaya,Water,2022,6,16137.93
Petaling Jaya,Water,2022,7,13773.45
Petaling Jaya,Water,2022,8,14878.62
Petaling Jaya,Water,2022,9,15401.0
Petaling Jaya,Water,2022,10,15191.65
Petaling Jaya,Water,2022,11,12475.82
Petaling Jaya,Water,2022,12,14234.32
Petaling Jaya,Water,2023,1,13006.93
Petaling Jaya,Water,2023,2,13710.41
Petaling Jaya,Water,2023,3,15988.11
Petaling Jaya,Water,2023,4,13934.02
Petaling Jaya,Water,2023,5,13351.64
Petaling Jaya,Water,2023,6,16204.15
Petaling Jaya,Water,2023,7,14003.42
Petaling Jaya,Water,2023,8,13682.62
Petaling Jaya,Water,2023,9,14852.94
Petaling Jaya,Water,2023,10,13533.91
Petaling Jaya,Water,2023,11,13232.97
Petaling Jaya,Water,2023,12,15051.13
Petaling Jaya,Water,2024,1,13906.8
Petaling Jaya,Water,2024,2,14804.95
Petaling Jaya,Water,2024,3,17441.89
Petaling Jaya,Water,2024,4,14695.32
Petaling Jaya,Water,2024,5,13584.05
Petaling Jaya,Water,2024,6,16197.19
Petaling Jaya,Water,2024,7,13846.7
Petaling Jaya,Water,2024,8,13949.97
Petaling Jaya,Water,2024,9,16102.44
Petaling Jaya,Water,2024,10,13669.43
Petaling Jaya,Water,2024,11,13272.08
Petaling Jaya,Water,2024,12,15094.84
Petaling Jaya,Water,2025,1,12588.94
Petaling Jaya,Water,2025,2,12625.27
Petaling Jaya,Water,2025,3,15629.78
Petaling Jaya,Electricity,2020,1,32964.31
Petaling Jaya,Electricity,2020,2,36350.52
Petaling Jaya,Electricity,2020,3,34308.67
Petaling Jaya,Electricity,2020,4,33017.01
Petaling Jaya,Electricity,2020,5,34467.31
Petaling Jaya,Electricity,2020,6,37713.4
Petaling Jaya,Electricity,2020,7,35504.35
Petaling Jaya,Electricity,2020,8,39475.57
Petaling Jaya,Electricity,2020,9,41809.75
Petaling Jaya,Electricity,2020,10,34209.41
Petaling Jaya,Electricity,2020,11,34802.04
Petaling Jaya,Electricity,2020,12,37316.63
Petaling Jaya,Electricity,2021,1,37650.57
Petaling Jaya,Electricity,2021,2,36507.79
Petaling Jaya,Electricity,2021,3,34444.03
Petaling Jaya,Electricity,2021,4,34153.88
Petaling Jaya,Electricity,2021,5,34141.94
Petaling Jaya,Electricity,2021,6,38080.72
Petaling Jaya,Electricity,2021,7,35828.59
Petaling Jaya,Electricity,2021,8,37556.96
Petaling Jaya,Electricity,2021,9,38501.77
Petaling Jaya,Electricity,2021,10,35031.11
Petaling Jaya,Electricity,2021,11,35266.13
Petaling Jaya,Electricity,2021,12,35909.58
Petaling Jaya,Electricity,2022,1,35720.35
Petaling Jaya,Electricity,2022,2,34359.22
Petaling Jaya,Electricity,2022,3,38099.64
Petaling Jaya,Electricity,2022,4,37361.39
Petaling Jaya,Electricity,2022,5,35454.44
Petaling Jaya,Electricity,2022,6,38709.66
Petaling Jaya,Electricity,2022,7,35296.13
Petaling Jaya,Electricity,2022,8,36080.5
Petaling Jaya,Electricity,2022,9,40980.89
Petaling Jaya,Electricity,2022,10,35891.77
Petaling Jaya,Electricity,2022,11,34106.98
Petaling Jaya,Electricity,2022,12,39378.37
Petaling Jaya,Electricity,2023,1,33863.56
Petaling Jaya,Electricity,2023,2,35931.53
Petaling Jaya,Electricity,2023,3,37669.59
Petaling Jaya,Electricity,2023,4,34897.86
Petaling Jaya,Electricity,2023,5,31923.63
Petaling Jaya,Electricity,2023,6,36499.06
Petaling Jaya,Electricity,2023,7,35779.49
Petaling Jaya,Electricity,2023,8,39164.21
Petaling Jaya,Electricity,2023,9,34155.2
Petaling Jaya,Electricity,2023,10,38464.06
Petaling Jaya,Electricity,2023,11,38049.64
Petaling Jaya,Electricity,2023,12,37506.67
Petaling Jaya,Electricity,2024,1,35111.9
Petaling Jaya,Electricity,2024,2,38717.48
Petaling Jaya,Electricity,2024,3,33231.74
Petaling Jaya,Electricity,2024,4,35803.86
Petaling Jaya,Electricity,2024,5,35030.31
Petaling Jaya,Electricity,2024,6,38077.86
Petaling Jaya,Electricity,2024,7,33036.95
Petaling Jaya,Electricity,2024,8,36646.32
Petaling Jaya,Electricity,2024,9,38055.93
Petaling Jaya,Electricity,2024,10,33116.8
Petaling Jaya,Electricity,2024,11,38880.42
Petaling Jaya,Electricity,2024,12,39807.55
Petaling Jaya,Electricity,2025,1,34850.9
Petaling Jaya,Electricity,2025,2,37434.35
Petaling Jaya,Electricity,2025,3,38943.37
Petaling Jaya,Fuel,2020,1,26348.45
Petaling Jaya,Fuel,2020,2,23722.03
Petaling Jaya,Fuel,2020,3,26150.58
Petaling Jaya,Fuel,2020,4,25965.38
Petaling Jaya,Fuel,2020,5,24517.5
Petaling Jaya,Fuel,2020,6,28833.38
Petaling Jaya,Fuel,2020,7,25161.41
Petaling Jaya,Fuel,2020,8,24887.55
Petaling Jaya,Fuel,2020,9,25986.61
Petaling Jaya,Fuel,2020,10,24955.21
Petaling Jaya,Fuel,2020,11,25267.63
Petaling Jaya,Fuel,2020,12,29255.53
Petaling Jaya,Fuel,2021,1,22335.23
Petaling Jaya,Fuel,2021,2,26262.55
Petaling Jaya,Fuel,2021,3,27491.02
Petaling Jaya,Fuel,2021,4,25535.65
Petaling Jaya,Fuel,2021,5,27158.54
Petaling Jaya,Fuel,2021,6,29978.42
Petaling Jaya,Fuel,2021,7,24267.83
Petaling Jaya,Fuel,2021,8,27228.81
Petaling Jaya,Fuel,2021,9,27030.77
Petaling Jaya,Fuel,2021,10,24505.03
Petaling Jaya,Fuel,2021,11,27625.05
Petaling Jaya,Fuel,2021,12,27034.34
Petaling Jaya,Fuel,2022,1,25696.5
Petaling Jaya,Fuel,2022,2,26643.1
Petaling Jaya,Fuel,2022,3,30330.34
Petaling Jaya,Fuel,2022,4,26662.25
Petaling Jaya,Fuel,2022,5,26525.4
Petaling Jaya,Fuel,2022,6,28351.57
Petaling Jaya,Fuel,2022,7,25099.2
Petaling Jaya,Fuel,2022,8,23838.27
Petaling Jaya,Fuel,2022,9,29071.7
Petaling Jaya,Fuel,2022,10,26090.85
Petaling Jaya,Fuel,2022,11,24243.25
Petaling Jaya,Fuel,2022,12,26993.75
Petaling Jaya,Fuel,2023,1,22630.54
Petaling Jaya,Fuel,2023,2,26928.31
Petaling Jaya,Fuel,2023,3,27816.43
Petaling Jaya,Fuel,2023,4,25410.38
Petaling Jaya,Fuel,2023,5,24915.31
Petaling Jaya,Fuel,2023,6,27435.97
Petaling Jaya,Fuel,2023,7,24068.44
Petaling Jaya,Fuel,2023,8,23889.08
Petaling Jaya,Fuel,2023,9,30061.79
Petaling Jaya,Fuel,2023,10,24391.91
Petaling Jaya,Fuel,2023,11,23022.6
Petaling Jaya,Fuel,2023,12,29655.82
Petaling Jaya,Fuel,2024,1,26231.81
Petaling Jaya,Fuel,2024,2,25962.54
Petaling Jaya,Fuel,2024,3,31959.25
Petaling Jaya,Fuel,2024,4,23162.52
Petaling Jaya,Fuel,2024,5,26994.75
Petaling Jaya,Fuel,2024,6,28132.11
Petaling Jaya,Fuel,2024,7,26130.29
Petaling Jaya,Fuel,2024,8,26635.59
Petaling Jaya,Fuel,2024,9,27990.05
Petaling Jaya,Fuel,2024,10,26701.36
Petaling Jaya,Fuel,2024,11,24176.88
Petaling Jaya,Fuel,2024,12,27384.36
Petaling Jaya,Fuel,2025,1,25159.14
Petaling Jaya,Fuel,2025,2,22850.55
Petaling Jaya,Fuel,2025,3,28000.12
Subang Jaya,Water,2020,1,15150.9
Subang Jaya,Water,2020,2,13289.71
Subang Jaya,Water,2020,3,14369.52
Subang Jaya,Water,2020,4,14597.96
Subang Jaya,Water,2020,5,13837.19
Subang Jaya,Water,2020,6,15698.47
Subang Jaya,Water,2020,7,13405.08
Subang Jaya,Water,2020,8,11808.22
Subang Jaya,Water,2020,9,14376.92
Subang Jaya,Water,2020,10,13559.03
Subang Jaya,Water,2020,11,14259.54
Subang Jaya,Water,2020,12,15480.11
Subang Jaya,Water,2021,1,13365.84
Subang Jaya,Water,2021,2,13490.24
Subang Jaya,Water,2021,3,13781.81
Subang Jaya,Water,2021,4,13174.6
Subang Jaya,Water,2021,5,14733.06
Subang Jaya,Water,2021,6,14559.39
Subang Jaya,Water,2021,7,13889.49
Subang Jaya,Water,2021,8,12275.95
Subang Jaya,Water,2021,9,14616.46
Subang Jaya,Water,2021,10,13018.65
Subang Jaya,Water,2021,11,14470.25
Subang Jaya,Water,2021,12,14724.26
Subang Jaya,Water,2022,1,14183.73
Subang Jaya,Water,2022,2,12189.74
Subang Jaya,Water,2022,3,14268.87
Subang Jaya,Water,2022,4,13478.14
Subang Jaya,Water,2022,5,14403.75
Subang Jaya,Water,2022,6,15098.07
Subang Jaya,Water,2022,7,13219.03
Subang Jaya,Water,2022,8,13426.42
Subang Jaya,Water,2022,9,15114.26
Subang Jaya,Water,2022,10,13489.08
Subang Jaya,Water,2022,11,13486.17
Subang Jaya,Water,2022,12,15094.91
Subang Jaya,Water,2023,1,13406.22
Subang Jaya,Water,2023,2,14369.35
Subang Jaya,Water,2023,3,16027.22
Subang Jaya,Water,2023,4,12875.53
Subang Jaya,Water,2023,5,13052.61
Subang Jaya,Water,2023,6,13508.7
Subang Jaya,Water,2023,7,13457.05
Subang Jaya,Water,2023,8,13855.83
Subang Jaya,Water,2023,9,13885.98
Subang Jaya,Water,2023,10,14462.15
Subang Jaya,Water,2023,11,12709.22
Subang Jaya,Water,2023,12,14358.0
Subang Jaya,Water,2024,1,13162.66
Subang Jaya,Water,2024,2,13360.13
Subang Jaya,Water,2024,3,15387.65
Subang Jaya,Water,2024,4,13014.98
Subang Jaya,Water,2024,5,13753.59
Subang Jaya,Water,2024,6,15160.63
Subang Jaya,Water,2024,7,13444.72
Subang Jaya,Water,2024,8,13894.75
Subang Jaya,Water,2024,9,14731.04
Subang Jaya,Water,2024,10,12682.36
Subang Jaya,Water,2024,11,14998.35
Subang Jaya,Water,2024,12,13427.25
Subang Jaya,Water,2025,1,13614.57
Subang Jaya,Water,2025,2,13764.76
Subang Jaya,Water,2025,3,15088.63
Subang Jaya,Electricity,2020,1,34408.8
Subang Jaya,Electricity,2020,2,34003.45
Subang Jaya,Electricity,2020,3,36425.26
Subang Jaya,Electricity,2020,4,34755.33
Subang Jaya,Electricity,2020,5,33846.98
Subang Jaya,Electricity,2020,6,37487.15
Subang Jaya,Electricity,2020,7,33605.05
Subang Jaya,Electricity,2020,8,32191.42
Subang Jaya,Electricity,2020,9,36390.97
Subang Jaya,Electricity,2020,10,33798.97
Subang Jaya,Electricity,2020,11,34516.71
Subang Jaya,Electricity,2020,12,38979.21
Subang Jaya,Electricity,2021,1,34311.58
Subang Jaya,Electricity,2021,2,31099.43
Subang Jaya,Electricity,2021,3,35433.01
Subang Jaya,Electricity,2021,4,34352.47
Subang Jaya,Electricity,2021,5,33468.45
Subang Jaya,Electricity,2021,6,35565.56
Subang Jaya,Electricity,2021,7,34596.95
Subang Jaya,Electricity,2021,8,31363.79
Subang Jaya,Electricity,2021,9,39790.65
Subang Jaya,Electricity,2021,10,35945.44
Subang Jaya,Electricity,2021,11,32156.72
Subang Jaya,Electricity,2021,12,36869.43
Subang Jaya,Electricity,2022,1,34878.64
Subang Jaya,Electricity,2022,2,34862.24
Subang Jaya,Electricity,2022,3,34868.26
Subang Jaya,Electricity,2022,4,32277.84
Subang Jaya,Electricity,2022,5,33910.59
Subang Jaya,Electricity,2022,6,38526.45
Subang Jaya,Electricity,2022,7,37168.77
Subang Jaya,Electricity,2022,8,36799.67
Subang Jaya,Electricity,2022,9,36519.71
Subang Jaya,Electricity,2022,10,29979.43
Subang Jaya,Electricity,2022,11,34395.92
Subang Jaya,Electricity,2022,12,37660.53
Subang Jaya,Electricity,2023,1,33969.9
Subang Jaya,Electricity,2023,2,32665.79
Subang Jaya,Electricity,2023,3,38822.14
Subang Jaya,Electricity,2023,4,36629.87
Subang Jaya,Electricity,2023,5,32395.44
Subang Jaya,Electricity,2023,6,38571.19
Subang Jaya,Electricity,2023,7,33413.19
Subang Jaya,Electricity,2023,8,35064.39
Subang Jaya,Electricity,2023,9,34767.18
Subang Jaya,Electricity,2023,10,30138.31
Subang Jaya,Electricity,2023,11,33199.09
Subang Jaya,Electricity,2023,12,35660.34
Subang Jaya,Electricity,2024,1,32253.12
Subang Jaya,Electricity,2024,2,34848.47
Subang Jaya,Electricity,2024,3,37602.35
Subang Jaya,Electricity,2024,4,33912.63
Subang Jaya,Electricity,2024,5,36337.3
Subang Jaya,Electricity,2024,6,38497.19
Subang Jaya,Electricity,2024,7,31888.08
Subang Jaya,Electricity,2024,8,34605.97
Subang Jaya,Electricity,2024,9,38826.4
Subang Jaya,Electricity,2024,10,34424.74
Subang Jaya,Electricity,2024,11,36457.66
Subang Jaya,Electricity,2024,12,36452.23
Subang Jaya,Electricity,2025,1,34662.84
Subang Jaya,Electricity,2025,2,35271.8
Subang Jaya,Electricity,2025,3,39334.28
Subang Jaya,Fuel,2020,1,23703.09
Subang Jaya,Fuel,2020,2,25248.31
Subang Jaya,Fuel,2020,3,28983.18
Subang Jaya,Fuel,2020,4,24070.66
Subang Jaya,Fuel,2020,5,23416.73
Subang Jaya,Fuel,2020,6,24987.72
Subang Jaya,Fuel,2020,7,24581.67
Subang Jaya,Fuel,2020,8,24704.72
Subang Jaya,Fuel,2020,9,25383.62
Subang Jaya,Fuel,2020,10,24815.56
Subang Jaya,Fuel,2020,11,26034.46
Subang Jaya,Fuel,2020,12,25550.74
Subang Jaya,Fuel,2021,1,23482.21
Subang Jaya,Fuel,2021,2,24553.24
Subang Jaya,Fuel,2021,3,26982.42
Subang Jaya,Fuel,2021,4,23354.26
Subang Jaya,Fuel,2021,5,25071.11
Subang Jaya,Fuel,2021,6,27128.46
Subang Jaya,Fuel,2021,7,23576.41
Subang Jaya,Fuel,2021,8,23693.69
Subang Jaya,Fuel,2021,9,26119.23
Subang Jaya,Fuel,2021,10,24819.46
Subang Jaya,Fuel,2021,11,23597.47
Subang Jaya,Fuel,2021,12,24400.31
Subang Jaya,Fuel,2022,1,24814.18
Subang Jaya,Fuel,2022,2,22369.38
Subang Jaya,Fuel,2022,3,25877.67
Subang Jaya,Fuel,2022,4,22481.96
Subang Jaya,Fuel,2022,5,26078.47
Subang Jaya,Fuel,2022,6,28643.93
Subang Jaya,Fuel,2022,7,24402.21
Subang Jaya,Fuel,2022,8,22501.65
Subang Jaya,Fuel,2022,9,25547.2
Subang Jaya,Fuel,2022,10,24298.29
Subang Jaya,Fuel,2022,11,24494.82
Subang Jaya,Fuel,2022,12,25771.83
Subang Jaya,Fuel,2023,1,24266.16
Subang Jaya,Fuel,2023,2,24076.09
Subang Jaya,Fuel,2023,3,26801.42
Subang Jaya,Fuel,2023,4,25041.58
Subang Jaya,Fuel,2023,5,22830.83
Subang Jaya,Fuel,2023,6,25312.99
Subang Jaya,Fuel,2023,7,24692.88
Subang Jaya,Fuel,2023,8,24131.07
Subang Jaya,Fuel,2023,9,27620.12
Subang Jaya,Fuel,2023,10,24598.04
Subang Jaya,Fuel,2023,11,24945.93
Subang Jaya,Fuel,2023,12,24564.24
Subang Jaya,Fuel,2024,1,23846.6
Subang Jaya,Fuel,2024,2,24028.39
Subang Jaya,Fuel,2024,3,28720.71
Subang Jaya,Fuel,2024,4,23194.55
Subang Jaya,Fuel,2024,5,23940.72
Subang Jaya,Fuel,2024,6,26434.62
Subang Jaya,Fuel,2024,7,24429.62
Subang Jaya,Fuel,2024,8,23691.17
Subang Jaya,Fuel,2024,9,23985.94
Subang Jaya,Fuel,2024,10,24076.38
Subang Jaya,Fuel,2024,11,23524.66
Subang Jaya,Fuel,2024,12,27448.07
Subang Jaya,Fuel,2025,1,23789.47
Subang Jaya,Fuel,2025,2,22713.14
Subang Jaya,Fuel,2025,3,24266.14
Shah Alam,Water,2020,1,14279.04
Shah Alam,Water,2020,2,15716.61
Shah Alam,Water,2020,3,15789.31
Shah Alam,Water,2020,4,14784.75
Shah Alam,Water,2020,5,14979.97
Shah Alam,Water,2020,6,15805.36
Shah Alam,Water,2020,7,15695.12
Shah Alam,Water,2020,8,14268.28
Shah Alam,Water,2020,9,15878.5
Shah Alam,Water,2020,10,15317.69
Shah Alam,Water,2020,11,14267.51
Shah Alam,Water,2020,12,16264.77
Shah Alam,Water,2021,1,14738.83
Shah Alam,Water,2021,2,15597.03
Shah Alam,Water,2021,3,18095.64
Shah Alam,Water,2021,4,14292.71
Shah Alam,Water,2021,5,14711.84
Shah Alam,Water,2021,6,15335.73
Shah Alam,Water,2021,7,14269.09
Shah Alam,Water,2021,8,15309.68
Shah Alam,Water,2021,9,17487.22
Shah Alam,Water,2021,10,15601.97
Shah Alam,Water,2021,11,16320.49
Shah Alam,Water,2021,12,16281.38
Shah Alam,Water,2022,1,14247.76
Shah Alam,Water,2022,2,14757.49
Shah Alam,Water,2022,3,15551.37
Shah Alam,Water,2022,4,13120.72
Shah Alam,Water,2022,5,14994.26
Shah Alam,Water,2022,6,16812.06
Shah Alam,Water,2022,7,14472.71
Shah Alam,Water,2022,8,15958.2
Shah Alam,Water,2022,9,15287.33
Shah Alam,Water,2022,10,14675.01
Shah Alam,Water,2022,11,14803.67
Shah Alam,Water,2022,12,16936.16
